rank	character	count	cumulative	pinyin	eng
42	下	621185	28.121805202	xia4	under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter
43	自	611687	28.4379159507	zi4	from/self/oneself/since
44	之	609003	28.752639648	zhi1	(literary equivalent of 的)/(subor. part.)/him/her/it
45	年	601887	29.0636859024	nian2	year
46	过	589925	29.3685503729	guo4	(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-
47	发	572904	29.6646186437	fa1/fa4	to send out/to show (one's feeling)/to issue/to develop, hair
48	后	570764	29.9595809943	hou4	empress/queen/surname, back/behind/rear/afterwards/after/later
49	作	542791	30.2400873144	zuo4	to regard as/to take (somebody) for/to do/to make
50	里	537795	30.5180117759	li3	inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown
51	用	535480	30.7947398798	yong4	to use
52	道	534695	31.0710623073	dao4	direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk
53	行	531848	31.3459134476	hang2/xing2/xing4	a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct
54	所	523028	31.6162065431	suo3	actually/place
55	然	511026	31.8802971833	ran2	correct/right/so/thus/like this/-ly
56	家	509790	32.1437490771	jia1	furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession
57	种	503344	32.4038697739	zhong3/zhong4	kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate
58	事	499172	32.6618344431	shi4	matter/thing/item/work/affair
59	成	499007	32.9197138428	cheng2/cheng4	finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth
60	方	492763	33.1743664362	fang1	square/quadrilateral/direction/just
61	多	481689	33.4232961509	duo1	many/much/a lot of/numerous/multi-
62	经	481338	33.672044474	jing1	classics/sacred book/pass through/to undergo/scripture
63	么	477969	33.9190517481	ma/me/yao1	(interrog. part.), (interrog. suff.), one on dice/small
64	去	476270	34.1651810041	qu4	to go/to leave/to remove
65	法	466816	34.4064245736	fa3	law/method/way/Buddhist teaching/Legalist/France (abbrev.)
66	学	464261	34.646347757	xue2	learn/study/science/-ology
67	如	449036	34.8784028867	ru2	as (if)/such as
68	都	439568	35.1055650948	dou1/du1	all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city
69	同	437611	35.3317159543	tong2	like/same/similar/together/alike/with
70	现	433960	35.5559800314	xian4	appear/present/now/existing/current
71	当	429274	35.7778224533	dang1/dang4	to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent
72	没	428146	35.9990819415	mei2/mo4	(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate
73	动	426839	36.2196659916	dong4	to use/to act/to move/to change
74	面	425180	36.4393926952	mian4	fade/side/surface/aspect/top/face/flour/noodles, flour/noodles
75	起	424933	36.6589917528	qi3	to rise/to raise/to get up
76	看	424616	36.8784269896	kan1/kan4	to look after/to take care of/to watch/to guard, it depends/think/to see/to look at
77	定	422538	37.0967883468	ding4	to set/to fix/to determine/to decide/to order
78	天	419884	37.3137781563	tian1	day/sky/heaven
79	分	419382	37.5305085396	fen1/fen4	to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part
80	还	415855	37.7454162218	hai2/huan2/huan4	also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return
81	进	412166	37.9584174836	jin4	advance/enter/to come in
82	好	411866	38.1712637099	hao3/hao4	good/well, be fond of
83	小	410987	38.383655682	xiao3	small/tiny/few/young
84	部	403066	38.5919541991	bu4	ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)
85	其	403028	38.8002330784	qi2	his/her/its/theirs/that/such/it (refers to sth preceding it)
86	些	400528	39.0072199948	xie1	some/few/several/(a measure word)
87	主	399693	39.2137753956	zhu3	to own/to host/master/lord/primary
88	样	398149	39.4195328802	yang4	manner/pattern/way/appearance/shape
89	理	398087	39.6252583241	li3	reason/logic/science/inner principle or structure
90	心	392228	39.8279559239	xin1	heart/mind
91	她	388612	40.0287848286	ta1	she
92	本	388118	40.2293584415	ben3	roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)
93	前	381431	40.4264763122	qian2	before/in front/ago/former/previous/earlier/front
94	开	377012	40.6213105094	kai1	open/operate (vehicle)/start
95	但	374459	40.8148253542	dan4	but/yet/however/only/merely/still
96	因	371612	41.0068689116	yin1	cause/reason/because
97	只	370059	41.1981099018	qi2/zhi1/zhi3	earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only
98	从	369958	41.3892986966	cong1/cong2/zong4	lax/yielding/unhurried, from/obey/observe/follow, second cousin
99	想	368819	41.5798988732	xiang3	to think/to believe/to suppose/to wish/to want/to miss
100	实	368494	41.7703310946	shi2	real/true/honest/really/solid
101	日	363763	41.9583184056	ri4	Japan/day/sun/date/day of the month
102	军	362526	42.1456664533	jun1	army/military/arms
103	者	360974	42.3322124505	zhe3	-ist, -er (person)/person (who does sth)
104	意	360232	42.5183749931	yi4	idea/meaning/wish/desire/(abbr.) Italy
105	无	359265	42.7040378045	wu2	-less/not to have/no/none/not/to lack/un-
106	力	359136	42.8896339507	li4	power/force/strength
107	它	346173	43.0685310111	ta1	it
108	与	345532	43.2470968122	yu2/yu3/yu4	(interrog. part.), and/to give/together with, take part in
109	长	342148	43.4239138125	chang2/zhang3	length/long/forever/always/constantly, chief/head/elder/to grow/to develop
110	把	340730	43.5999980114	ba3/ba4	(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle
111	机	339823	43.7756134862	ji1	machine/opportunity/secret
112	十	338954	43.9507798748	shi2	ten/10
113	民	335796	44.1243142558	min2	the people/nationality/citizen
114	第	325780	44.292672517	di4	(prefix before a number, for ordering numbers, e.g. first, number two, etc)
115	公	318626	44.4573336973	gong1	just/honorable (designation)/public/common
116	此	318534	44.6219473334	ci3	this/these
117	已	318143	44.7863589065	yi3	already/to stop/then/afterwards
118	工	317532	44.9504547239	gong1	work/worker/skill/profession/trade/craft/labor
119	使	316273	45.1138999088	shi3	to make/to cause/to enable/to use/to employ/messenger
120	情	312900	45.2756019774	qing2	feeling/emotion/passion/situation
121	明	309873	45.4357397375	ming2	clear/bright/to understand/next/the Ming dynasty
122	性	309844	45.5958625107	xing4	sex/nature/surname/suffix corresponding to -ness or -ity
123	知	306384	45.7541972074	zhi1	to know/to be aware
124	全	305248	45.9119448362	quan2	all/whole/entire/every/complete
125	三	304272	46.0691880827	san1	three/3
126	又	302933	46.2257393539	you4	(once) again/also/both... and.../again
127	关	302473	46.3820529039	guan1	(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve
128	点	300800	46.5375018724	dian3	(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point)
129	正	296810	46.6908888683	zheng1/zheng4	Chinese 1st month of year, just (right)/main/upright/straight/correct/principle
130	业	296169	46.8439446048	ye4	business/occupation/study
131	外	295645	46.9967295459	wai4	outside/in addition/foreign/external
132	将	295586	47.1494839968	jiang1/jiang4	(will, shall, future tense)/ready/prepared/to get/to use, a general
133	两	294600	47.3017288974	liang3	both/two/ounce/some/a few/tael
134	高	293542	47.4534270394	gao1	high/tall
135	间	292227	47.604445609	jian1/jian4	between/among/space/(measure word), interstice/separate
136	由	292199	47.7554497085	you2	follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb)
137	问	288237	47.9044063054	wen4	to ask
138	很	284252	48.0513035135	hen3	very/extremely
139	最	283689	48.1979097716	zui4	(the) most/-est
140	重	282843	48.3440788294	chong2/zhong4	to double/to repeat/repetition/iteration/again/a layer, heavy/serious
141	并	281616	48.4896137919	bing4	and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with
142	物	281146	48.6349058654	wu4	thing/object/matter
143	手	280442	48.7798341221	shou3	hand/convenient
144	应	280384	48.9247324053	ying1/ying4	ought, (surname)/to answer/to respond
145	战	278776	49.068799698	zhan4	to fight/fight/war/battle
146	向	276986	49.2119419453	xiang4	direction/part/side/towards/to/guide/opposite to, guide/opposite to
147	头	274911	49.3540118635	tou2/tou	head, suff. for nouns
148	文	274222	49.4957257167	wen2	language/culture/writing/formal/literary
149	体	273792	49.6372173523	ti3	body/form/style/system
150	政	269878	49.7766862908	zheng4	political/politics/government
151	美	269452	49.9159350789	mei3	America/beautiful
152	相	269125	50.0550148783	xiang1/xiang4	each other/one another/mutually, appearance/portrait/picture
153	见	269080	50.1940714223	jian4/xian4	to see/to meet/to appear (to be sth)/to interview, appear
154	被	268905	50.333037529	bei4	by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear
155	利	268813	50.4719560914	li4	advantage/benefit/profit/sharp
156	什	267869	50.6103868086	shen2/shi2	what, tenth (used in fractions)
157	二	267506	50.7486299328	er4	two/2
158	等	266296	50.8862477471	deng3	class/rank/grade/equal to/same as/wait for/await/et cetera/and so on
159	产	265164	51.0232805605	chan3	to reproduce/to produce/give birth/products/produce/resources/estate/property
160	或	260786	51.1580508886	huo4	maybe/perhaps/might/possibly/or
161	新	253921	51.2892734868	xin1	meso- (chem.)/new/newly
162	己	250894	51.4189317764	ji3	6th heavenly stem/self
163	制	250754	51.5485177161	zhi4	system/to make/to manufacture/to control/to regulate, manufacture
164	身	249725	51.6775718838	shen1	body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit
165	果	246831	51.8051304754	guo3	fruit/result
166	加	243648	51.9310441399	jia1	to add/plus
167	西	243619	52.0569428176	xi1	west
168	斯	240900	52.1814363565	si1	(phonetic)/this
169	月	240566	52.3057572892	yue4	moon/month
170	话	240067	52.4298203462	hua4	dialect/language/spoken words/speech/talk/words/conversation/what someone said
171	合	239277	52.5534751428	ge3/he2	one-tenth of a peck, Chinese musical note/fit/to join
172	回	239243	52.6771123688	hui2	(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam
173	特	239091	52.8006710434	te2/te4	special/unusual/extraordinary, male animal/special (-ly)
174	代	231734	52.9204277298	dai4	substitute/replace/generation/dynasty/geological era/era/age/period
175	内	231331	53.0399761518	nei4	inside/inner/internal/within/interior
176	信	230248	53.1589648955	xin4	letter/true/to believe/sign/evidence
177	表	226768	53.2761552269	biao3	surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external
178	化	224729	53.3922918334	hua4	to make into/to change into/-ization/to ... -ize/to transform
179	老	223050	53.5075607577	lao3	(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people)
180	给	217815	53.6201243118	gei3/ji3	to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide
181	世	214990	53.7312279479	shi4	life/age/generation/era/world/lifetime
182	位	214983	53.8423279665	wei4	position/location/(measure word for persons)/place/seat
183	次	214857	53.9533628702	ci4	nth/number (of times)/order/sequence/next/second(ary)/(measure word)
184	度	214376	54.0641492003	du4	capacity/degree/standard
185	门	212769	54.1741050566	men2	opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)
186	任	212485	54.2839141459	ren4	to assign/to appoint/office/responsibility
187	常	212309	54.3936322811	chang2	always/ever/often/frequently/common/general/constant
188	先	210628	54.5024817004	xian1	early/prior/former/in advance/first
189	海	209302	54.6106458627	hai3	ocean/sea
190	通	209046	54.7186777279	tong1	go through/know well/to connect/to communicate/open
191	教	208875	54.8266212229	jiao1/jiao4	teach, religion/teaching
192	儿	207827	54.9340231271	er2/er	son, non-syllabic dimi. suff.
193	原	207579	55.0412968686	yuan2	former/original/primary/raw/level/cause/source
194	东	206238	55.1478776012	dong1	east
195	声	206083	55.2543782321	sheng1	sound/voice/(a measure word, used for sounds)/tone/noise
196	提	205159	55.3604013535	di1/ti2	carry (suspended), to carry/to lift/to put forward/(upwards character stroke)/lifting (brush stroke in painting)/to mention
197	立	204985	55.4663345544	li4	set up/to stand
198	及	202671	55.5710719144	ji2	to reach/and
199	比	200645	55.6747622677	bi3/bi4	(particle used for comparison and -er than)/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near
200	员	200217	55.778231437	yuan2	person/employee/member
201	解	200090	55.8816349746	jie3/jie4/xie4	to separate/to divide/to break up/to loosen/to explain/to untie/to emancipate, transport under guard, (surname)
202	水	198933	55.9844405918	shui3	water/river
203	名	198481	56.0870126221	ming2	name/(measure word for persons)/place (e.g. among winners)
204	真	198416	56.1895510614	zhen1	real/true/genuine
205	论	197165	56.2914430025	lun2/lun4	the Analects (of Confucius), by the/per/discuss/theory/to talk (about)/to discuss
206	处	194237	56.3918217967	chu3/chu4	to reside/to live/to dwell/to be in/to stay/get along with/to be in a position of/deal with, a place/location/spot/point/office/department/bureau/respect
207	走	193619	56.4918812177	zou3	to walk/to go/to move
208	义	193507	56.5918827587	yi4	justice/righteousness/meaning
209	各	193435	56.6918470913	ge4	each/every
210	入	192433	56.7912936051	ru4	to enter
211	几	192355	56.8906998097	ji1/ji3	small table, almost, a few/how many, how much/how many/several/a few
212	口	191936	56.9898894813	kou3	mouth/(a measure word)
213	认	191866	57.0890429779	ren4	to recognize/to know/to admit
214	条	191280	57.1878936385	tiao2	measure word for long, thin things (i.e. ribbon, river, etc.)/a strip/item/article
215	平	191267	57.2867375808	ping2	flat/level/equal/to make the same score/to tie/to draw/calm/peaceful
216	系	190769	57.3853241642	xi4	be/connection/relation/tie up/bind, be/system/to tie/department/faculty, connect/to tie
217	气	190687	57.4838683711	qi4	air/anger/gas, gas/air/smell/weather/vital breath/to make sb. angry/to get angry/to be enraged
218	题	189921	57.5820167207	ti2	topic/subject/to inscribe/to superscribe
219	活	189876	57.6801418149	huo2	to live/alive/living/work/workmanship
220	尔	189785	57.7782198817	er3	thus/so/like that/you/thou
221	更	187378	57.8750540467	geng1/geng4	to change, more/even more/further/still/still more
222	别	186634	57.9715037235	bie2/bie4	leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward
223	打	186146	58.0677012092	da2/da3	dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from
224	女	185188	58.1634036147	nu:3/nv3	female/woman
225	变	185121	58.2590713956	bian4	to change/to become different/to transform/to vary/rebellion
226	四	184874	58.3546115306	si4	four/4
227	神	184554	58.4499862943	shen2	God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being
228	总	184470	58.5453176481	zong3	always/to assemble/gather/total/overall/head/chief/general/in every case
229	何	184335	58.6405792359	he2	carry/what/how/why/which
230	电	183834	58.7355819144	dian4	electric/electricity/electrical
231	数	183312	58.830314831	shu3/shu4/shuo4	to count, number/figure/to count/to calculate/several, frequently/repeatedly
232	安	183210	58.9249950355	an1	content/calm/still/quiet/to pacify/peace
233	少	183018	59.0195760173	shao3/shao4	few/little/lack, young
234	报	182411	59.1138433105	bao4	to announce/to inform/report/newspaper/recompense/revenge
235	才	181725	59.2077560891	cai2	ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until
236	结	181674	59.3016425116	jie1/jie2	knot/sturdy/to bear (fruit)/bond/to tie/to bind
237	反	181385	59.3953795833	fan3	wrong side out or up/anti-
238	受	180928	59.4888804841	shou4	to bear/to stand/to endure/(passive marker)/to receive
239	目	180827	59.5823291897	mu4	eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title
240	太	180490	59.6756037386	tai4	highest/greatest/too (much)/very/extremely
241	量	180008	59.7686291971	liang2/liang4	to measure, capacity/quantity/amount/to estimate
242	再	179607	59.8614474248	zai4	again/once more/re-/second/another
243	感	178383	59.9536331075	gan3	to feel/to move/to touch/to affect
244	建	178289	60.0457702124	jian4	to establish/to found/to set up/to build/to construct
245	务	176085	60.1367683228	wu4	affair/business/matter
246	做	175580	60.2275054568	zuo4	to do/to make/to produce
247	接	175473	60.3181872947	jie1	to extend/to connect/to receive/to join
248	必	174963	60.4086055722	bi4	certainly/must/will/necessarily
249	场	173632	60.4983360087	chang3	a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)
250	件	172895	60.5876855746	jian4	a measure word for thing, clothes, item
251	计	171949	60.6765462617	ji4	to calculate/to compute/to count/reckon/ruse/to plan
252	管	170746	60.7647852563	guan3	to take care (of)/to control/to manage/to be in charge of/to look after/to run/tube/pipe
253	期	169806	60.8525384729	qi1	a period of time/phase/stage/(used for issue of a periodical, courses of study)/time/term/period/to hope
254	市	169522	60.9401449225	shi4	market/city
255	直	169439	61.0277084789	zhi2	straight/vertical/frank/directly/straightly/upright
256	德	168917	61.1150022735	de2	Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind
257	资	168890	61.2022821149	zi1	resources/capital/to provide/to supply/to support/money/expense
258	命	168358	61.2892870266	ming4	life/fate
259	山	168142	61.3761803127	shan1	mountain/hill
260	金	167912	61.4629547382	jin1	metal/money/gold
261	指	166865	61.5491880897	zhi3	finger/to point/to direct/to indicate
262	克	166044	61.6349971606	ke4	gram/subdue/to restrain/to overcome, subdue
263	许	166034	61.7208010637	xu3	to allow/to permit/to praise/(surname)
264	统	165820	61.8064943747	tong3	to gather/to unite/to unify/whole
265	区	164775	61.8916476453	ou1/qu1	Ou (surname), area/region/district/small/distinguish
266	保	164424	61.9766195243	bao3	to defend/to protect/to insure or guarantee/to maintain/hold or keep/to guard
267	至	163582	62.0611562702	zhi4	arrive/most/to/until
268	队	162938	62.1453602064	dui4	squadron/team/group
269	形	162049	62.2291047207	xing2	to appear/to look/form/shape
270	社	159527	62.3115459029	she4	society/group
271	便	159479	62.3939622794	bian4/pian2	ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap
272	空	158539	62.4758928778	kong1/kong4	air/sky/empty/in vain, emptied/leisure
273	决	157959	62.5575237409	jue2	breach (a dyke)/to decide/to determine
274	治	156904	62.6386093957	zhi4	to rule/to govern/to manage/to control/to harness (a river)/cure/treatment/to heal
275	展	156759	62.7196201166	zhan3	to use/to spread out/to postpone/to unfold
276	马	155772	62.8001207706	ma3	horse/horse chess piece/Surname
277	科	155750	62.8806100553	ke1	branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes, etc.)/to fine somebody
278	司	155229	62.960830095	si1	company/control
279	五	154316	63.0405783099	wu3	five/5
280	基	153462	63.1198851902	ji1	base/foundation/basic/radical (chem.)
281	眼	152079	63.1984773567	yan3	eye
282	书	151357	63.2766964043	shu1	book/letter
283	非	149915	63.3541702478	fei1	non-/not-/un-
284	则	149042	63.4311929378	ze2	(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle
285	听	148988	63.5081877215	ting1/ting4	listen/hear/obey, let/allow
286	白	148728	63.585048141	bai2	white/snowy/empty/blank/bright/clear/plain/pure/gratuitous
287	却	148679	63.661883238	que4	but/yet/however/while/to go back/to decline/to retreat/nevertheless
288	界	148438	63.7385937898	jie4	boundary/scope/extent/circles/group/kingdom (taxonomy)
289	达	147907	63.8150299287	da2	attain/pass through/achieve/reach/realize/clear/inform/notify/dignity
290	光	147639	63.8913275692	guang1	light/ray/bright
291	放	147600	63.9676050551	fang4	to release/to free/to let go/to put/to place/to let out
292	强	146665	64.0433993469	qiang2	strength/force/power/powerful/better
293	即	146459	64.1190871809	ji2	namely/right away/to approach/to draw near
294	像	145291	64.1941714099	xiang4	(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem
295	难	144597	64.26889699	nan2/nan4	difficult (to...)/problem/difficulty/difficult/not good, disaster/distress/to scold
296	且	144597	64.3436225702	qie3	further/moreover
297	权	144506	64.4183011228	quan2	authority/power/right
298	思	144503	64.4929781251	si1	to think/to consider
299	王	143948	64.5673683117	wang2	king/Wang (proper name)
300	象	143453	64.6415026896	xiang4	shape/form/appearance/elephant/image under a map (math.)
301	完	143120	64.7154649781	wan2	to finish/to be over/whole/complete/entire
302	设	142742	64.7892319218	she4	to set up/to arrange/to establish/to found/to display
303	式	142292	64.8627663122	shi4	type/form/pattern/style
304	色	142231	64.9362691787	se4/shai3	color/look/appearance, color/dice
305	路	141812	65.0095555122	lu4	(surname)/road/path/way
306	记	139501	65.0816475552	ji4	to remember/to note/mark/sign/to record
307	南	139078	65.1535209982	nan2	south
308	品	138528	65.2251102093	pin3	conduct/grade/thing/product/good
309	住	138503	65.2966865008	zhu4	to live/to dwell/to reside/to stop
310	告	138285	65.3681501332	gao4	to tell/to inform/to say
311	类	138280	65.4396111816	lei4	kind/type/class/category/similar/like/to resemble
312	求	138216	65.5110391558	qiu2	to seek/to look for/to request/to demand/to beseech
313	据	137990	65.5823503365	ju1/ju4	sickness of hand, act in accordance with/seize, according to/to act in accordance with/to depend on/to seize/to occupy
314	程	136962	65.6531302621	cheng2	rule/order/regulations/formula/journey/procedure/sequence/a surname
315	北	136939	65.7238983017	bei3	north
316	边	136277	65.7943242295	bian1	side/edge/margin/border/boundary
317	死	136194	65.8647072641	si3	to die/inpassable/uncrossable/inflexible/rigid
318	张	136087	65.9350350027	zhang1	(a measure word)/(a surname)/open up
319	该	136053	66.0053451707	gai1	that/the above-mentioned/most likely/to deserve/should/ought to/owe
320	交	135727	66.0754868666	jiao1	to deliver/to turn over/to make friends/to intersect (lines)/to pay (money)
321	规	134528	66.1450089372	gui1	compass/rule
322	万	134220	66.214371838	wan4	Wan (surname)/ten thousand/a great number
323	取	134102	66.2836737581	qu3	to take/to get/to choose/to fetch
324	拉	134051	66.3529493222	la1	to pull/to play (string instruments)/to drag/to draw
325	格	133986	66.4221912953	ge2	frame/rule
326	望	133145	66.490998652	wang4	hope/expect/to visit/to gaze (into the distance)/look towards/towards
327	觉	132041	66.559235478	jiao4/jue2	a nap/a sleep, feel/find that/thinking/awake/aware
328	术	131634	66.6272619724	shu4/zhu2	method/technique, Atractylis lancea var. ovata
329	领	130993	66.6949572076	ling3	neck/collar/to lead/to receive
330	共	128824	66.7615315357	gong4	all together/in while/to share/common/general/together
331	确	128417	66.8278955324	que4	authenticated/solid/firm, authenticated/solid/firm/real/true
332	传	128186	66.8941401517	chuan2/zhuan4	to pass on/to spread/to transmit/to infect/to transfer/to circulate/to pass on/to conduct (electricity), biography
333	师	128086	66.9603330924	shi1	a division (milit.)/teacher/master/expert/model
334	观	127796	67.0263761655	guan1/guan4	to look at/to watch/to observe/to behold, Taoist monastery
335	清	127716	67.0923778957	qing1	clear/distinct/complete/pure
336	今	126624	67.1578152966	jin1	today/modern/present/current/this/now
337	切	126391	67.2231322866	qie1/qie4	to cut/to slice, close to
338	院	126115	67.2883066438	yuan4	courtyard/institution
339	让	125660	67.3532458639	rang4	to ask/to let/permit/have (someone do something)/to yield/to allow
340	识	125220	67.4179576984	shi2/zhi4	to know/knowledge, to record/write a footnote
341	候	124865	67.4824860743	hou4	wait
342	带	124619	67.546887321	dai4	band/belt/girdle/ribbon/area/zone/region/wear/carry/lead/bring/consists of/show/and
343	导	124463	67.6112079492	dao3	to transmit/to lead/to guide/to conduct/to direct
344	争	124420	67.6755063556	zheng1	struggle/fight
345	运	123903	67.7395375842	yun4	to move/to transport/to use/to apply/fortune/luck/fate
346	笑	122902	67.8030515108	xiao4	laugh/smile
347	飞	122290	67.8662491649	fei1	to fly
348	风	121803	67.9291951447	feng1	wind/news/style/custom/manner
349	步	121267	67.9918641276	bu4	a step/a pace/walk/march/stages in a process
350	改	121023	68.0544070149	gai3	to change/to alter/to transform/to correct
